Gyro_X,2.685546875, Gyro_Y,-4.8828125, Gyro_Z,-3.723144531, Gyro_M,220819226, Accel_X,0.102905273, Accel_Y,-0.010009766, Accel_Z,1.002197266, Accel_M,220820557, derec,888, derec_M,220822231, izq,877, izq_M,220821394
Gyro_X,2.746582031, Gyro_Y,-4.943847656, Gyro_Z,-3.662109375, Gyro_M,220830179, Accel_X,0.102539063, Accel_Y,-0.010375977, Accel_Z,1.002319336, Accel_M,220831510, derec,887, derec_M,220833184, izq,858, izq_M,220832347
Gyro_X,2.807617188, Gyro_Y,-5.004882813, Gyro_Z,-3.601074219, Gyro_M,220840482, Accel_X,0.102661133, Accel_Y,-0.010375977, Accel_Z,1.002685547, Accel_M,220841813, derec,882, derec_M,220843487, izq,872, izq_M,220842650
Gyro_X,2.746582031, Gyro_Y,-5.065917969, Gyro_Z,-3.662109375, Gyro_M,220851142, Accel_X,0.10168457, Accel_Y,-0.012695313, Accel_Z,1.002441406, Accel_M,220852473, derec,882, derec_M,220854147, izq,872, izq_M,220853310
Gyro_X,2.868652344, Gyro_Y,-5.065917969, Gyro_Z,-3.723144531, Gyro_M,220861890, Accel_X,0.102416992, Accel_Y,-0.010498047, Accel_Z,1.002563477, Accel_M,220863221, derec,891, derec_M,220864895, izq,875, izq_M,220864057
Gyro_X,2.746582031, Gyro_Y,-5.004882813, Gyro_Z,-3.723144531, Gyro_M,220872429, Accel_X,0.102172852, Accel_Y,-0.010375977, Accel_Z,1.002197266, Accel_M,220873759, derec,883, derec_M,220875434, izq,871, izq_M,220874596
Gyro_X,2.807617188, Gyro_Y,-4.943847656, Gyro_Z,-3.662109375, Gyro_M,220882746, Accel_X,0.101196289, Accel_Y,-0.010864258, Accel_Z,1.001953125, Accel_M,220884078, derec,881, derec_M,220885752, izq,877, izq_M,220884915
Gyro_X,2.746582031, Gyro_Y,-5.004882813, Gyro_Z,-3.662109375, Gyro_M,220893359, Accel_X,0.102050781, Accel_Y,-0.010009766, Accel_Z,1.002441406, Accel_M,220894689, derec,885, derec_M,220896364, izq,873, izq_M,220895526
Gyro_X,2.746582031, Gyro_Y,-4.943847656, Gyro_Z,-3.662109375, Gyro_M,220903740, Accel_X,0.1015625, Accel_Y,-0.009399414, Accel_Z,1.002075195, Accel_M,220905072, derec,881, derec_M,220906746, izq,884, izq_M,220905909
Gyro_X,2.807617188, Gyro_Y,-5.126953125, Gyro_Z,-3.662109375, Gyro_M,220914147, Accel_X,0.102539063, Accel_Y,-0.012207031, Accel_Z,1.001586914, Accel_M,220915477, derec,881, derec_M,220917151, izq,884, izq_M,220916314
Gyro_X,2.807617188, Gyro_Y,-5.004882813, Gyro_Z,-3.723144531, Gyro_M,220924467, Accel_X,0.101196289, Accel_Y,-0.009765625, Accel_Z,1.001708984, Accel_M,220925798, derec,882, derec_M,220927472, izq,876, izq_M,220926635
